2020-06-06,1474
2020-06-05,1465
2020-06-04,1455
2020-06-03,1447
2020-06-02,1436
2020-06-01,1424
2020-05-31,1410
2020-05-30,1396
2020-05-29,1383
2020-05-28,1369
2020-05-27,1356
2020-05-26,1342
2020-05-25,1330
2020-05-24,1316
2020-05-23,1302
2020-05-22,1289
2020-05-21,1277
2020-05-20,1263
2020-05-19,1247
2020-05-18,1231
2020-05-17,1218
2020-05-16,1203
2020-05-15,1190
2020-05-14,1184
2020-05-13,1175
2020-05-12,1163
2020-05-11,1144
2020-05-10,1135
2020-05-09,1126
2020-05-08,1114
2020-05-07,1105
2020-05-06,1089
2020-05-05,1074
2020-05-04,1063
2020-05-03,1043
2020-05-02,1023
2020-05-01,1007
2020-04-30,989
2020-04-29,973
2020-04-28,948
2020-04-27,928
2020-04-26,903
2020-04-25,880
2020-04-24,854
2020-04-23,820
2020-04-22,785
2020-04-21,762
2020-04-20,735
2020-04-19,714
2020-04-18,687
2020-04-17,657
2020-04-16,629
2020-04-15,599
2020-04-14,567
2020-04-13,535
2020-04-12,504
2020-04-11,470
2020-04-10,435
2020-04-09,409
2020-04-08,380
2020-04-07,345
2020-04-06,311
2020-04-05,295
2020-04-04,266
2020-04-03,246
2020-04-02,209
2020-04-01,187
2020-03-31,160
2020-03-30,140
2020-03-29,119
2020-03-28,100
2020-03-27,76
2020-03-26,60
2020-03-25,43
2020-03-24,33
2020-03-23,23
2020-03-22,14
2020-03-21,12
2020-03-20,6
2020-03-19,3
2020-03-18,2
2020-03-17,1
2020-03-16,0
2020-03-15,0
2020-03-14,0
2020-03-13,0
2020-03-12,0
2020-03-11,0
2020-03-10,0
2020-03-09,0
2020-03-08,0
2020-03-07,0
2020-03-06,0
2020-03-05,0
2020-03-04,0
2020-03-03,0
2020-03-02,0
2020-03-01,0
2020-02-23,0
2020-02-15,0
2020-02-09,0
2020-02-02,0
